MakeDate,Month,Year,Housetype,Sales,Benchmark price,Open,High,Low,Close,Adj Close,Volume,Bank of Canada Target Overnight Rate,Births,Deaths,Immigrants,Emigrants,Returning emigrants,Net temporary emigration,Net interprovincial migration,Net intraprovincial migration,Net non-permanent residents
2018-09-01,9,2018,A,812,687300,16146.342105316,16183.168431316,16087.273694474,16125.610403,16125.610403,252503052.631579,1.5,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2018-09-01,9,2018,T,275,837600,16146.342105316,16183.168431316,16087.273694474,16125.610403,16125.610403,252503052.631579,1.5,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2018-09-01,9,2018,D,508,1540900,16146.342105316,16183.168431316,16087.273694474,16125.610403,16125.610403,252503052.631579,1.5,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2014-09-01,9,2014,A,1188,378700,15381.657180095,15417.038132476,15297.490373810,15353.490466952,15353.490466952,177950985.714286,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2014-09-01,9,2014,T,464,477700,15381.657180095,15417.038132476,15297.490373810,15353.490466952,15353.490466952,177950985.714286,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2014-09-01,9,2014,D,1270,990300,15381.657180095,15417.038132476,15297.490373810,15353.490466952,15353.490466952,177950985.714286,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2012-11-01,11,2012,A,750,364900,12169.754527773,12214.063698545,12110.149991091,12163.190873591,12163.190873591,152550268.181818,1,23339,13813,29630,9542,4251,3762,-2475,-3148,9255
2012-11-01,11,2012,T,307,454300,12169.754527773,12214.063698545,12110.149991091,12163.190873591,12163.190873591,152550268.181818,1,23339,13813,29630,9542,4251,3762,-2475,-3148,9255
2012-11-01,11,2012,D,629,914500,12169.754527773,12214.063698545,12110.149991091,12163.190873591,12163.190873591,152550268.181818,1,23339,13813,29630,9542,4251,3762,-2475,-3148,9255
2011-04-01,4,2011,A,1201,409242,13982.75502935,14027.68505855,13898.26992195,13962.37998055,13962.37998055,201216735,1,23223,13564,32857,8783,3872,4311,1099,-2064,1619
2011-04-01,4,2011,T,622,514670,13982.75502935,14027.68505855,13898.26992195,13962.37998055,13962.37998055,201216735,1,23223,13564,32857,8783,3872,4311,1099,-2064,1619
2011-04-01,4,2011,D,1402,879039,13982.75502935,14027.68505855,13898.26992195,13962.37998055,13962.37998055,201216735,1,23223,13564,32857,8783,3872,4311,1099,-2064,1619
2018-11-01,11,2018,A,810,667800,15130.404607636,15197.886319227,15070.672674,15144.004572091,15144.004572091,253681772.727273,1.75,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2018-11-01,11,2018,T,282,818500,15130.404607636,15197.886319227,15070.672674,15144.004572091,15144.004572091,253681772.727273,1.75,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2018-11-01,11,2018,D,516,1500100,15130.404607636,15197.886319227,15070.672674,15144.004572091,15144.004572091,253681772.727273,1.75,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2012-03-01,3,2012,A,1191,375100,12470.013538591,12524.431818273,12402.350053364,12464.031871455,12464.031871455,224466750,1,23339,13813,29630,9542,4251,3762,-2475,-3148,9255
2012-03-01,3,2012,T,500,480900,12470.013538591,12524.431818273,12402.350053364,12464.031871455,12464.031871455,224466750,1,23339,13813,29630,9542,4251,3762,-2475,-3148,9255
2012-03-01,3,2012,D,1183,1056400,12470.013538591,12524.431818273,12402.350053364,12464.031871455,12464.031871455,224466750,1,23339,13813,29630,9542,4251,3762,-2475,-3148,9255
2021-08-01,8,2021,A,1631,735100,20452.204706048,20505.466703952,20402.180710667,20462.614304333,20462.614304333,178290823.809524,0.25,23583,17885,28002,4249,948,772,12764,-12248,-3480
